Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,58.216800,-85.902800,0.000000,bottom
C2,0.1uF,C_0805_2012Metric,60.408460,-91.110823,135.000000,bottom
C3,0.1uF,C_0805_2012Metric,54.134658,-97.308423,135.000000,bottom
C4,22pF,C_0805_2012Metric,54.394837,-92.816449,45.000000,bottom
C5,22pF,C_0805_2012Metric,58.833658,-92.634823,135.000000,bottom
C6,1uF,C_0805_2012Metric,58.369200,-106.375200,-135.000000,bottom
D1,D_Small,D_SOT-23_ANK_norm,42.926000,-75.311000,-90.000000,bottom
D2,D_Small,D_SOT-23_ANK_norm,90.551000,-72.517000,-90.000000,bottom
D3,D_Small,D_SOT-23_ANK_norm,109.474000,-72.533000,-90.000000,bottom
D4,D_Small,D_SOT-23_ANK_norm,147.701000,-72.517000,-90.000000,bottom
D5,D_Small,D_SOT-23_ANK_norm,185.801000,-72.517000,-90.000000,bottom
D6,D_Small,D_SOT-23_ANK_norm,223.774000,-72.517000,-90.000000,bottom
D8,D_Small,D_SOT-23_ANK_norm,76.200000,-91.821000,-90.000000,bottom
D9,D_Small,D_SOT-23_ANK_norm,114.300000,-91.821000,-90.000000,bottom
D10,D_Small,D_SOT-23_ANK_norm,152.400000,-91.821000,-90.000000,bottom
D11,D_Small,D_SOT-23_ANK_norm,190.500000,-91.821000,-90.000000,bottom
D12,D_Small,D_SOT-23_ANK_norm,232.029000,-91.821000,-90.000000,bottom
D14,D_Small,D_SOT-23_ANK_norm,85.725000,-110.871000,-90.000000,bottom
D15,D_Small,D_SOT-23_ANK_norm,104.775000,-110.871000,-90.000000,bottom
D16,D_Small,D_SOT-23_ANK_norm,142.875000,-110.871000,-90.000000,bottom
D17,D_Small,D_SOT-23_ANK_norm,180.975000,-110.871000,-90.000000,bottom
D18,D_Small,D_SOT-23_ANK_norm,219.075000,-110.871000,-90.000000,bottom
D19,D_Small,D_SOT-23_ANK_norm,57.150000,-129.794000,-90.000000,bottom
D20,D_Small,D_SOT-23_ANK_norm,80.010000,-129.794000,-90.000000,bottom
D22,D_Small,D_SOT-23_ANK_norm,152.400000,-129.794000,-90.000000,bottom
D23,D_Small,D_SOT-23_ANK_norm,215.646000,-129.794000,-90.000000,bottom
D24,D_Small,D_SOT-23_ANK_norm,238.125000,-129.794000,-90.000000,bottom
D25,D_Small,D_SOT-23_ANK_norm,252.476000,-75.327000,-90.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,52.324000,-73.152000,180.000000,bottom
G***,LOGO,vial_logo,74.650600,-78.486000,180.000000,bottom
G***,LOGO,elmo,226.949000,-78.740000,180.000000,bottom
G***,LOGO,qmk,103.886000,-78.486000,180.000000,bottom
R1,5.1k,R_0805_2012Metric,40.767000,-62.738000,0.000000,bottom
R2,5.1k,R_0805_2012Metric,60.452000,-62.738000,180.000000,bottom
R3,22,R_0805_2012Metric,53.289200,-85.902800,-90.000000,bottom
R4,22,R_0805_2012Metric,55.422800,-85.902800,-90.000000,bottom
R5,10k,R_0805_2012Metric,70.764400,-95.402400,180.000000,bottom
R6,10k,R_0805_2012Metric,40.640000,-98.450400,90.000000,bottom
RESET,RESET,PinHeader_1x02_P2.54mm_Vertical,36.830000,-97.226200,180.000000,bottom
U1,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,63.284837,-99.725249,45.000000,bottom
U2,SRV05-4,SOT-23-6,52.273200,-70.002400,0.000000,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,52.197000,-60.325000,0.000000,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,56.489600,-94.996000,45.000000,bottom
MX1,MX-NoLED,MXOnly-1U-NoLED,42.862500,-69.850000,0.000000,top
MX2,MX-NoLED,MXOnly-1U-NoLED,61.912500,-69.850000,0.000000,top
MX3,MX-NoLED,MXOnly-1U-NoLED,80.962500,-69.850000,0.000000,top
MX4,MX-NoLED,MXOnly-1U-NoLED,100.012500,-69.850000,0.000000,top
MX5,MX-NoLED,MXOnly-1U-NoLED,119.062500,-69.850000,0.000000,top
MX6,MX-NoLED,MXOnly-1U-NoLED,138.112500,-69.850000,0.000000,top
MX7,MX-NoLED,MXOnly-1U-NoLED,157.162500,-69.850000,0.000000,top
MX8,MX-NoLED,MXOnly-1U-NoLED,176.212500,-69.850000,0.000000,top
MX9,MX-NoLED,MXOnly-1U-NoLED,195.262500,-69.850000,0.000000,top
MX10,MX-NoLED,MXOnly-1U-NoLED,214.312500,-69.850000,0.000000,top
MX11,MX-NoLED,MXOnly-1U-NoLED,233.362500,-69.850000,0.000000,top
MX12,MX-NoLED,MXOnly-1.25U-NoLED,45.243750,-88.900000,0.000000,top
MX13,MX-NoLED,MXOnly-1U-NoLED,66.675000,-88.900000,0.000000,top
MX14,MX-NoLED,MXOnly-1U-NoLED,85.725000,-88.900000,0.000000,top
MX15,MX-NoLED,MXOnly-1U-NoLED,104.775000,-88.900000,0.000000,top
MX16,MX-NoLED,MXOnly-1U-NoLED,123.825000,-88.900000,0.000000,top
MX17,MX-NoLED,MXOnly-1U-NoLED,142.875000,-88.900000,0.000000,top
MX18,MX-NoLED,MXOnly-1U-NoLED,161.925000,-88.900000,0.000000,top
MX19,MX-NoLED,MXOnly-1U-NoLED,180.975000,-88.900000,0.000000,top
MX20,MX-NoLED,MXOnly-1U-NoLED,200.025000,-88.900000,0.000000,top
MX21,MX-NoLED,MXOnly-1U-NoLED,219.075000,-88.900000,0.000000,top
MX22,MX-NoLED,MXOnly-1.75U-NoLED,245.268750,-88.900000,0.000000,top
MX23,MX-NoLED,MXOnly-1.75U-NoLED,50.006250,-107.950000,0.000000,top
MX24,MX-NoLED,MXOnly-1U-NoLED,76.200000,-107.950000,0.000000,top
MX25,MX-NoLED,MXOnly-1U-NoLED,95.250000,-107.950000,0.000000,top
MX26,MX-NoLED,MXOnly-1U-NoLED,114.300000,-107.950000,0.000000,top
MX27,MX-NoLED,MXOnly-1U-NoLED,133.350000,-107.950000,0.000000,top
MX28,MX-NoLED,MXOnly-1U-NoLED,152.400000,-107.950000,0.000000,top
MX29,MX-NoLED,MXOnly-1U-NoLED,171.450000,-107.950000,0.000000,top
MX30,MX-NoLED,MXOnly-1U-NoLED,190.500000,-107.950000,0.000000,top
MX31,MX-NoLED,MXOnly-1U-NoLED,209.550000,-107.950000,0.000000,top
MX32,MX-NoLED,MXOnly-1U-NoLED,228.600000,-107.950000,0.000000,top
MX33,MX-NoLED,MXOnly-1.25U-NoLED,250.031250,-107.950000,0.000000,top
MX34,MX-NoLED,MXOnly-1.25U-NoLED,45.243750,-127.000000,0.000000,top
MX35,MX-NoLED,MXOnly-1U-NoLED,66.675000,-127.000000,0.000000,top
MX36,MX-NoLED,MXOnly-1.25U-NoLED,88.106250,-127.000000,0.000000,top
MX37,MX-NoLED,MXOnly-3U-ReversedStabilizers-NoLED,128.587500,-127.000000,0.000000,top
MX39,MX-NoLED,MXOnly-2U-ReversedStabilizers-NoLED,176.212500,-127.000000,0.000000,top
MX40,MX-NoLED,MXOnly-1.25U-NoLED,207.168750,-127.000000,0.000000,top
MX41,MX-NoLED,MXOnly-1U-NoLED,228.600000,-127.000000,0.000000,top
